	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
	achttiende		bnw					306
de	acquisitie		znw					307
de	acrobatiek		znw					308
de	act		znw					309
	acteren		ww					310
de	acteur		znw					311
de	actie		znw		A2	iets wat je doet	Aldi doet acties op woensdag en zaterdag.	312
	actief		bnw		A2	niet passief		313
de	actiegroep		znw					314
de	actievoerder		znw					315
de	activist		znw					316
de	activiteit		znw		A2	situatie waar mensen iets doen		317
de	actrice		znw					318
de	actualiteit		znw					319
	actueel		bnw					320
	acuut		bnw					321
het	ACV		znw			(BE) Algemeen Christelijk Vakverbond		322
	A.D.					anno domini; na Christus		323
de	adder		znw					324
de	adel		znw					325
	adellijk		bnw					326
de	adem		znw		A2			327
	adembenemend		bnw					328
	ademen		ww		A2			329
	ademhalen		ww					330
de	ademhaling		znw					331
	adequaat		bnw					332
de	ader		znw					333
	ADHD							334
	ad hoc							335
het	adjectief		znw		B1	bv. blauw, mooi, interessant, dik, …	Adjectieven krijgen soms een -e op het einde.	336
de	adjunct		znw					337
de	administratie		znw		A2(?)			338
	adopteren		ww					339
de	adoptie		znw					340
	ad rem							341
het	adres		znw		A1	waar je woont	Schrijf je naam en adres op dit papier.	342
	ADSL							343
de	advent		znw					344
de	advertentie		znw					345
	adverteren		ww					346
het	advies		znw		A2	suggestie, idee om iets beter te maken		347
	adviseren		ww					348
de	adviseur		znw					349
de	advocaat		znw		A2			350
de	advocaat		znw			soort alcohol		350
de	aerobics		znw					351
de	AEX		znw			Amsterdam Exchanges Index		352
	af		bw		A2	klaar	Is je huiswerk al af?	353
	af		bw		A2	↔ op	Timmy, ga die tafel af!	353
	afbeelden		ww					354
de	afbeelding		znw					355
	afblazen		ww					356
de	afbraak		znw					357
	afbreken		ww					358
de	afbreuk		znw					359
het	afdak		znw					360
	afdalen		ww					361
de	afdaling		znw					362
	afdanken		ww					363
	afdekken		ww					364
de	afdeling		znw		A2	departement		365
	afdingen		ww					366
	afdoen		ww					367
	afdoen aan		ww					368
	afdrogen		ww					369
de	afdruk		znw					370
	afdrukken		ww					371
	afdwingen		ww					372
	af en toe		bw		A2	soms		373
de	affaire		znw					374
de	affiche		znw					375
	afficheren		ww					376
de	affiniteit		znw					377
	afgaan		ww					378
	afgaan op		ww					379
de	afgang		znw					380
	afgedaan		bnw					381
	afgelasten		ww					382
	afgelegen		bnw					383
	afgelopen		bnw		A2	gedaan		384
de	afgevaardigde		znw					385
	afgeven		ww					386
	afgeven op		ww					387
	afgezaagd		bnw					388
	afgezien van		bnw			behalve, zonder		389
de	afgod		znw					390
	afgrijselijk		bnw					391
het	afgrijzen		znw					392
