	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	toespijs		znw*	toespijzen; /*	B2*		
	toespitsen op						
de	toespraak		znw*	toespraken; toespraakje*	B1*		
	toespreken		ww*	spreek toe, sprak toe, toegesproken*	B1*		
	toestaan		ww*	sta toe, stond toe, toegestanen*	B1*		
de	toestand		znw*	toestanden; toestandje*	B1*		
het	toestel		znw; znw*	toestellen; toestelletje*	B1*		
	toestemmen		ww*	toestem, stemde toe, toegestemd*	B2*		
de	toestemming		znw*	toestemmingen; /*	B1*		
	toesturen		ww*	stuur toe, stuurde toe, toegestuurd*	B1*		
de	toeter		znw; bnw*	toeters; toetertje*	A2*		
	toeteren		ww*	toeter, toeterde, getoeterd*	A2*		
het	toetje		znw*	toetjes; /*	B1*		
	toetreden		ww*	treed toe, toetrad, toegetreden*	B2*		
de	toets		znw*	toetsen; toetsje*	B1*		
	toetsen		ww*	toets, toetste, getoetst*	B1*		
het	toetsenbord		znw*	toetsenborden; toetsenbordje*	B1*		
de	toeval		znw; znw*	toevallen; toevalletje*	B1*		
het	toeval		znw; znw*	/; /*	B1*		
	toevallig		bnw*	toevallige; toevalliger, toevalligst*	A2*		
de	toeverlaat		znw*	toeverlaten; /*	B2*		
	toevertrouwen		ww*	toevertrouw, vertrouwde toe, toevertrouwd*	B2*		
de	toevlucht		znw*	toevluchten; /*	B2*		
	toevoegen		ww*	toevoeg, toevoegde, toegevoegd*	A2		
de	toewijding		znw*	toewijdingen; /*	B2*		
	toewijzen		ww*	toewijs, toewees, toegewezen*	B1*		
	toezeggen		ww*	zeg toe, zei toe, toegezegd*	B2*		
het	toezicht		znw*	toezichten; /*	B2*		
de	toezichthouder		znw*	toezichthouders; toezichthoudertje*	B2*		
de	toezichthoudster						
	toezien		ww*	zie toe, zag toe, toegezien*	B1*		
	tof		bnw*	toffe; toffer, tofst*	B1*		
het	toilet		znw*	toiletten; toiletje*	A2*		
	tokken		ww*	tok, tokte, getokt*	B2*		
de	tol		znw; znw*	tollen; tolletje*	B1*		
	tolerant		bnw*	tolerante; toleranter, tolerantst*	B2*		
	tolereren		ww*	tolereer, tolereerde, getolereerd*	B2*		
de	tolk		znw*	tolken; /*	B1		
	tolken		ww*	tolk, tolkte, getolkt*	B1*		
de	tomaat		znw*	tomaten; tomaatje*	A2*		
de	tombe		znw*	tomben; /*	B2*		
de	tompoes		znw*	tompoezen; tompoesje*	B2*		
de	ton		znw*	tonnen; tonnetje*	A2	1000 kilo	
de	ton		znw*	tonnen; tonnetje*	B1	vat	
het	toneel		znw*	tonelen; toneeltje*	A2		
de	toneelschrijfster		znw*	toneelschrijfsters; /*	B2*		
de	toneelschrijver		znw*	toneelschrijvers; /*	B2*		
het	toneelstuk		znw*	toneelstukken; toneelstukje*	A2*		
	tonen		ww*	toon, toonde, getoond*	A2	laten zien	
de	tong		znw*	tongen; tongetje*	A2*		
de	tongval		znw*	tongvallen; tongvalletje*	B2*		
de	tonijn		znw*	tonijnen; tonijntje*	B2*		
	tooien		ww*	tooi, tooide, getooid*	B2*		
de	toom		znw*	tomen; toompje*	B2*		
de	toon		znw*	tonen; toontje*	A2		
	toonaangevend		bnw*	toonaangevende; toonaangevender, toonaangevendst*	B2*		
de	toonbank		znw*	toonbanken; toonbankje*	B1*		
het	toonbeeld		znw*	toonbeelden; /*	B2*		
de	toonladder		znw*	toonladders; toonladdertje*	B2*		
de	toorn		znw*	/; /*	B2*		
de	toost		znw*	toosten; toostje*	B2*		
de	top		tsw; znw; znw*	toppen; topje*	A2		
	top-						
de	topambtenaar		znw*	topambtenaars; /*	B2*		
het	topje						
de	topman		znw*	toplieden; topmannetje*	B2*		
de	topper		znw*	toppers; toppertje*	B1*		
het	toppunt		znw*	toppunten; /*	B2*		
de	topsport		znw*	/; /*	B1*		
de	topvorm		znw*	/; /*	B1*		
de	tor		znw*	torren; torretje*	B2*		
de	toren		znw*	torens; torentje*	A2	hoog gebouw, hoger dan de andere gebouwen	
de	toren		znw*	torens; torentje*	B1*	schaakstuk: ♜	
de	tornado		znw*	tornado's; /*	B2*		
	tornen aan						
	torpederen		ww*	torpedeer, torpedeerde, getorpedeerd*	B2*		
de	torpedo		znw*	torpedo's; /*	B2*		
	torsen		ww*	tors, torste, getorst*	B2*		
de	torso		znw*	torso's; /*	B2*		
