	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	absoluut		bnw*	absolute; absoluter, absoluutst*	A2	helemaal, zeker	Je moet absoluut komen!
	absorberen		ww*	absorbeer, absorbeerde, geabsorbeerd*	B2*		
	abstract		bnw; znw; znw*	abstracte; abstracter, abstractst*	B2*	 niet concreet	
het	abstract	ɛp­strɛkt	bnw; znw; znw*	abstracts; /*	C1	samenvatting van een paper	
de	abt		znw*	abten; /*	B2*		
het	abuis		bnw; znw*	abuizen; /*	B2*		
het	ABVV		znw*	/; /*	B2*	BE	
de	academicus		znw*	academici; /*	B2*		
de	academie		znw*	academiën; academietje*	B2*		
	academisch		bnw*	academische; academischer, /*	B2*		
het	accent		znw*	accenten; accentje*	B1*	nadruk, klemtoon	
het	accent		znw*	accenten; accentje*	B1*	speciale of karakteristieke uitspraak	
het	accent		znw*	accenten; accentje*	B1*	speciaal teken op/aan een letter	
het	accent aigu		znw*	accents aigus; /*	B2*	´ op é	
het	accent circonflexe		znw*	accents circonflexes; /*	B2*	^ op ê	
het	accent grave		znw*	accent graves; /*	B2*	` op è	
	acceptabel		bnw*	acceptabele; acceptabeler, acceptabelst*	B2*		
	accepteren		ww*	accepteer, accepteerde, geaccepteerd*	B1*		
de	acceptgirokaart		znw*	acceptgirokaarten; /*	B2*		
de	accijns		znw*	accijnzen; accijnsje*	B2*		
de	accolade		znw*	accolades; /*	B2*	{ of } 	
de	accommodatie		znw*	accommodaties; /*	B2*		
de/het	accordeon		znw*	accordeons; /*	B2*		
de	accountant		znw*	accountants; /*	B2*		
de	accu		znw*	accu's; accuutje*	B1*		
	accuraat		bnw*	accurate; accurater, accuraatst*	B2*		
	ach		tsw*	*	A2	dit zeg je voor iets jammers of triests	Ach nee, we zijn te laat!
de	achilleshiel		znw*	achilleshielen; achilleshieltje*	C1	zwak punt	
de	achillespees		znw*	achillespezen; achillespeesje*	C1	pees boven je hiel	Ik heb mijn achillespees verrekt met deze slechte loopschoenen...
	acht		znw; tw; znw*	*	A1	8	Drie plus vijf is acht.
de	acht		znw; tw; znw*	achten; achtje*	A2*		
	achteloos		bnw*	achteloze; achtelozer, achteloost*	B2*		
	achten		ww*	acht, achtte, geacht*	B1	vinden; menen	
	achter		bw; vz*	*	A1	↔ voor	Zeynep zit achter Laura in de bus.
	achter		bw; vz*	*	A2	na de rest	
	achteraan		bw; vz*	*	B1*	laatste in de rij	
	achteraf		bw*	*	B1	na het einde	
de	achterban		znw*	achterbannen; /*	B2*		
	achterblijven		ww*	blijf achter, bleef achter, achtergebleven*	B1	niet meegaan	
de	achterbuurt		znw*	achterbuurten; achterbuurtje*	B1*		
de	achterdeur		znw*	achterdeuren; achterdeurtje*	B2*		
